PubMed_ID	Year	Title
38496488	2024	Predicting drug outcome of population via clinical knowledge graph.
38296864	2024	Convolutional neural network based data interpretable framework for Alzheimer's
38330823	2024	Deciphering the comprehensive knowledgebase landscape featuring infertility with
38178113	2024	A patient safety knowledge graph supporting vaccine product development.
39560053	2024	Cross-modal embedding integrator for disease-gene/protein association prediction
39288310	2024	Biomedical knowledge graph-optimized prompt generation for large language models.
38658132	2024	Medical knowledge graph completion via fusion of entity description and type
38598532	2024	PresRecST: a novel herbal prescription recommendation algorithm for real-world
38301394	2024	Improving preliminary clinical diagnosis accuracy through knowledge filtering
38510014	2024	Two Decades' advancements and Research trends in needle-type Sensor technology: A
38347589	2024	Knowledge graph construction based on granulosa cells transcriptome from
37592036	2024	Predicting transcriptional outcomes of novel multigene perturbations with GEARS.
38766424	2024	Global status and trends of metabolomics in diabetes: A literature visualization
39174566	2024	An ontology-based knowledge graph for representing interactions involving RNA
39273492	2024	ToxDAR: A Workflow Software for Analyzing Toxicologically Relevant Proteomic and
39446541	2024	An End-to-End Knowledge Graph Fused Graph Neural Network for Accurate
38718126	2024	Phenome-wide identification of therapeutic genetic targets, leveraging knowledge
38857077	2024	Explainable AI Method for Tinnitus Diagnosis via Neighbor-Augmented Knowledge
38585647	2024	MKG-GC: A multi-task learning-based knowledge graph construction framework with
39103390	2024	Shared whole environmental etiology between Alzheimer's disease and age-related
39169305	2024	The acceptability and effectiveness of artificial intelligence-based chatbot for
41550147	2024	Natural product databases for drug discovery: Features and applications.
37702941	2024	Knowledge Graphs and Their Applications in Drug Discovery.
39622697	2024	Chinese Clinical Named Entity Recognition With Segmentation Synonym Sentence
38635388	2024	Predicting Future Disorders via Temporal Knowledge Graphs and Medical Ontologies.
38160285	2024	Generating new drug repurposing hypotheses using disease-specific hypergraphs.
38534499	2024	Enhancing Error Detection on Medical Knowledge Graphs via Intrinsic Label.
39148855	2024	A foundation model for clinician-centered drug repurposing.
38643701	2024	Predicting nutrition and environmental factors associated with female
39137596	2024	Family history of cancer and lung cancer: Utility of big data and artificial
38313267	2024	reguloGPT: Harnessing GPT for Knowledge Graph Construction of Molecular
39364206	2024	A comprehensive evaluation of large language models in mining gene relations and
38410649	2024	Improving Molecule Generation and Drug Discovery with a Knowledge-enhanced
37735262	2024	Supervised discovery of interpretable gene programs from single-cell data.
38409769	2024	Knowledge Graph for Breast Cancer Prevention and Treatment: Literature-Based Data
40039531	2024	NamE: Capturing Biological Context in KGEs via Contextual Named Graph Embeddings.
39361955	2024	Ascle-A Python Natural Language Processing Toolkit for Medical Text Generation:
39374057	2024	Use of SNOMED CT in Large Language Models: Scoping Review.
39421754	2024	Integrating AI with medical industry chain data: enhancing clinical nutrition
39176870	2024	Harnessing the Core Propagation Phenomenon Ontology to Develop a Knowledge Graph
38689720	2024	Multi-layered knowledge graph neural network reveals pathway-level agreement of
38862529	2024	Towards knowledge-infused automated disease diagnosis assistant.
39610660	2024	HeteroKGRep: Heterogeneous Knowledge Graph based Drug Repositioning.
38443441	2024	Incorporating high-frequency information into edge convolution for link
38412333	2024	BioLORD-2023: semantic textual representations fusing large language models and
39833104	2024	PHPGAT: predicting phage hosts based on multimodal heterogeneous knowledge graph
39074014	2024	KGRLFF: Detecting Drug-Drug Interactions Based on Knowledge Graph Representation
38184346	2024	A few-shot disease diagnosis decision making model based on meta-learning for
38964369	2024	KG-LIME: predicting individualized risk of adverse drug events for multiple
38308873	2024	Explaining protein-protein interactions with knowledge graph-based semantic
39373342	2024	Development and Validation of an AI-Driven System for Automatic Literature
38968598	2024	Electronic Health Record-Oriented Knowledge Graph System for Collaborative
38812149	2024	[Research hotspots and frontiers of Realgar based on CiteSpace knowledge graph
38626249	2024	SubGE-DDI: A new prediction model for drug-drug interaction established through
39439579	2024	Dynamic Insights: Unraveling Public Demand Evolution in Health Emergencies
38681752	2024	NeighBERT: Medical Entity Linking Using Relation-Induced Dense Retrieval.
39769215	2024	Artificial Intelligence-Assisted Comparative Analysis of the Overlapping
39565895	2024	Graph databases in systems biology: a systematic review.
39998433	2024	A large language model framework for literature-based disease-gene association
39575413	2024	Promoting appropriate medication use by leveraging medical big data.
38471316	2024	TCMSSD: A comprehensive database focused on syndrome standardization.
39502384	2024	BioKGrapher: Initial evaluation of automated knowledge graph construction from
38175789	2024	ExEmPLAR (Extracting, Exploring, and Embedding Pathways Leading to Actionable
39475566	2024	Integrated Knowledge Graph and Drug Molecular Graph Fusion via Adversarial
39055548	2024	Evolutionary trend analysis of the pharmaceutical management research field from
39279816	2024	Label Transfer for Drug Disease Association in Three Meta-Paths.
39554224	2024	KSDKG: construction and application of knowledge graph for kidney stone disease
38621887	2024	[Element relationship and extension path of clinical evidence knowledge map with
38745993	2024	Predicting gene disease associations with knowledge graph embeddings for diseases
39403518	2024	A framework for integrating biomedical knowledge in Wikidata with open biological
39717202	2024	Joint extraction of entity and relation based on fine-tuning BERT for long
39568073	2024	A new technology for medical and surgical data organisation: the WSES-WJES
38597890	2024	NetMe 2.0: a web-based platform for extracting and modeling knowledge from
38841983	2024	Global Trends in mHealth and Medical Education Research: Bibliometrics and
39066141	2024	An Intelligent Hand-Assisted Diagnosis System Based on Information Fusion.
39369079	2024	Enhancing ophthalmology medical record management with multi-modal knowledge
38555472	2024	A microbial knowledge graph-based deep learning model for predicting candidate
39176963	2024	Enhancing Patient Empowerment and Health Literacy: Integrating Knowledge Graphs
39108676	2024	G-PLIP: Knowledge graph neural network for structure-free protein-ligand
38462270	2024	Detecting mental and physical disorders using multi-task learning equipped with
38405609	2024	Drug-drug interactions prediction based on deep learning and knowledge graph: A
38784240	2024	BCSLinker: automatic method for constructing a knowledge graph of venous
